,Symbol
352,OIL
353,OLAELEC
354,OLECTRA
355,PAYTM
356,ONESOURCE
357,OFSS
358,POLICYBZR
359,PCBL
360,PGEL
361,PIIND
362,PNBHOUSING
363,PTCIL
364,PVRINOX
365,PAGEIND
366,PATANJALI
367,PERSISTENT
368,PETRONET
369,PFIZER
370,PHOENIXLTD
371,PIDILITIND
372,PPLPHARMA
373,POLYMED
374,POLYCAB
375,POONAWALLA
376,PFC
377,POWERGRID
378,PRAJIND
379,PREMIERENE
380,PRESTIGE
381,PGHH
382,PNB
383,RRKABEL
384,RBLBANK
385,RECLTD
386,RHIM
387,RITES
388,RADICO
389,RVNL
390,RAILTEL
391,RAINBOW
392,RKFORGE
393,RCF
394,REDINGTON
395,RELIANCE
396,RELINFRA
397,RPOWER
398,SBFC
399,SBICARD
400,SBILIFE
401,SJVN
402,SKFINDUS
403,SKFINDIA
404,SRF
405,SAGILITY
406,SAILIFE
407,SAMMAANCAP
408,MOTHERSON
409,SAPPHIRE
410,SARDAEN
411,SAREGAMA
412,SCHAEFFLER
413,SCHNEIDER
414,SCI
415,SHREECEM
416,SHRIRAMFIN
417,SHYAMMETL
418,ENRIN
419,SIEMENS
420,SIGNATURE
421,SOBHA
422,SOLARINDS
423,SONACOMS
424,SONATSOFTW
425,STARHEALTH
426,SBIN
427,SAIL
428,SUMICHEM
429,SUNPHARMA
430,SUNTV
431,SUNDARMFIN
432,SUNDRMFAST
433,SUPREMEIND
434,SUZLON
435,SWANCORP
436,SWIGGY
437,SYNGENE
438,SYRMA
439,TBOTEK
440,TVSMOTOR
441,TATACHEM
442,TATACOMM
443,TCS
444,TATACONSUM
445,TATAELXSI
446,TATAINVEST
447,TMPV
448,TATAPOWER
449,TATASTEEL
450,TATATECH
451,TTML
452,TECHM
453,TECHNOE
454,TEJASNET
455,NIACL
456,RAMCOCEM
457,THERMAX
458,TIMKEN
459,TITAGARH
460,TITAN
461,TORNTPHARM
462,TORNTPOWER
463,TARIL
464,TRENT
465,TRIDENT
466,TRIVENI
467,TRITURBINE
468,TIINDIA
469,UCOBANK
470,UNOMINDA
471,UPL
472,UTIAMC
473,ULTRACEMCO
474,UNIONBANK
475,UBL
476,UNITDSPR
477,USHAMART
478,VGUARD
479,DBREALTY
480,VTL
481,VBL
482,MANYAVAR
483,VEDL
484,VENTIVE
485,VIJAYA
486,VMM
487,IDEA
488,VOLTAS
489,WAAREEENER
490,WELCORP
491,WELSPUNLIV
492,WHIRLPOOL
493,WIPRO
494,WOCKPHARMA
495,YESBANK
496,ZFCVINDIA
497,ZEEL
498,ZENTEC
499,ZENSARTECH
500,ZYDUSLIFE
501,ECLERX
